feature	S1A	S1B	S2A	S2B	S3A	S3B	S4A	S4B	S5A	S5B	S6A	S6B
K04719	9.32777777777778	4.83333333333333	0	10.5555555555556	0	1.55	430.4	53.6	3005.05555555556	1122.58333333333	0	0
K04720	569.7	631.05	213.675	646.416666666667	746.875	1494.36666666667	6.8	118.75	270.6	553.3	539.9	1104.49166666667
K04744	589.012301587302	574.708333333333	295.845238095238	1233.35317460317	848.220238095238	1653.37738095238	9437.93095238095	120	2877.26031746032	3316.40357142857	1284.41666666667	3960.42857142857
K04747	0	0	0	0	0	0	249	0	0	0	0	0
K04748	8.41111111111111	5.1969696969697	4.36363636363636	10.6313131313131	0	1.3	318	4	351.355555555556	38.1	0	16
K04749	55.0603174603175	79.4517316017316	45.5469696969697	195.186868686869	4.54444444444444	13.0714285714286	0	31.0666666666667	211.994444444444	131.09880952381	580.266666666667	221.266666666667
K04750	12.6166666666667	18.6136363636364	17.8636363636364	10.3257575757576	12.5083333333333	13.4416666666667	21196.0416666667	75047.7333333333	955.616666666667	1046.84166666667	2.125	4.25
K04751	1321.12063492063	700.166666666667	1156.1119047619	964.65873015873	1567.5619047619	4471.21626984127	1708.44761904762	1899.25277777778	2009.24920634921	2957.91746031746	1442.54166666667	3487.43412698413
K04752	6.53809523809524	1.82142857142857	2	0.833333333333333	0	2.49642857142857	8902.71666666667	3.16666666666667	3027.75	1125.06547619048	0	8
K04753	35.9761904761905	22.4166666666667	92.9285714285714	244.464285714286	88.5952380952381	132.327380952381	0.464285714285714	22.8333333333333	167.571428571429	262.386904761905	657.916666666667	325.511904761905
K04754	106.103968253968	102.883333333333	210.145238095238	801.436507936508	120.595238095238	186.677380952381	8628.18095238095	124.75	8222.11031746032	4508.5369047619	1055.06666666667	3116.87857142857
K04755	1223.1373015873	1648.75	1797.80357142857	2188.14484126984	826.553571428571	363.960714285714	15723.2392857143	37882.4833333333	7357.12698412698	5439.97023809524	1586.875	5084.34523809524
K04756	1654.4	2009.6	1715.6	1627	740.933333333333	242.533333333333	311.266666666667	518.733333333333	1300.4	1463.6	589.133333333333	796.533333333333
K04757	51.615873015873	82.7183982683983	50.505303030303	317.964646464646	5.81944444444444	13.0964285714286	47.4	109.133333333333	367.772222222222	141.265476190476	1057.93333333333	352.725
K04758	4493.90753968254	3956.95703463203	2481.05227272727	2999.47095959596	3302.93055555556	6809.86031746032	16366.7583333333	40584.4444444444	1032.83611111111	2410.14603174603	1823.23333333333	2810.96388888889
K04759	5182.8630952381	4362.78506493506	2980.58863636364	4647.75631313131	5957.16388888889	7684.27698412698	16562.425	40667.3777777778	1210.06388888889	2828.40436507937	2355.59166666667	3871.36388888889
K04760	52.9428571428571	26.4166666666667	147.928571428571	709.047619047619	111.345238095238	169.627380952381	8639.38095238095	66.75	4799.32142857143	3111.97023809524	915.166666666667	3025.7619047619
K04761	1277.62063492063	1107.975	412.778571428571	2799.93650793651	2331.44523809524	2444.82738095238	15472.980952381	37834.65	5047.86031746032	3654.94523809524	1637.09166666667	4765.7119047619
K04762	2039.5373015873	2321.825	1965.2369047619	4134.72817460317	2592.72023809524	1411.89404761905	15676.6892857143	38112.7333333333	7086.36031746032	6079.1119047619	2251.55	6370.4619047619
K04763	2660.3873015873	2804.83863636364	2594.38387445887	4423.7205988456	3836.41746031746	1588.90515873016	16722.0142857143	38237.175	6562.65198412698	5945.0369047619	2675.24166666667	5673.2119047619
K04764	61.0539682539683	31.25	147.928571428571	718.769841269841	111.345238095238	170.627380952381	9431.93095238095	66.75	4805.87698412698	3111.97023809524	915.166666666667	3025.7619047619
K04765	45.3039682539683	27.25	92.9285714285714	255.019841269841	88.5952380952381	133.877380952381	823.264285714286	22.8333333333333	3172.62698412698	1383.97023809524	657.916666666667	325.511904761905
K04766	0	0.863636363636364	0.988636363636364	0.909090909090909	1.31944444444444	1.125	0	0	0	0	0	1.95833333333333
K04767	3874.38055555556	3309.89419191919	3046.84974747475	2590.18686868687	3866.16111111111	5194.04722222222	814.577777777778	2637.23333333333	1036.53888888889	2257.11666666667	1779.11666666667	2330.23611111111
K04768	5.66666666666667	4.46363636363636	0.988636363636364	7.57575757575758	1.71944444444444	3.525	62.2666666666667	53.6	5.33333333333333	1	0	1.95833333333333
K04769	0	0.863636363636364	0.988636363636364	0.909090909090909	1.31944444444444	1.125	0	0	0	0	0	1.95833333333333
K04770	35.9761904761905	22.4166666666667	92.9285714285714	244.464285714286	88.5952380952381	132.327380952381	0.464285714285714	22.8333333333333	167.571428571429	262.386904761905	657.916666666667	325.511904761905
K04771	4590.99087301587	3957.82976190476	3385.375	3628.86111111111	4812.28611111111	7234.57142857143	23368.7916666667	77879.1777777778	5917.01111111111	5505.1126984127	2484.825	6046.59722222222
K04772	35.9761904761905	22.4166666666667	92.9285714285714	244.464285714286	88.5952380952381	132.327380952381	445.464285714286	22.8333333333333	167.571428571429	262.386904761905	657.916666666667	325.511904761905
K04773	844.259523809524	597.058333333333	799.695238095238	2409.79761904762	2793.53968253968	1087.11071428571	15577.3976190476	37683.5	5140.60476190476	4050.02857142857	1780.34166666667	4387.82857142857
K04774	49.8595238095238	29.4166666666667	146.678571428571	705.714285714286	110.345238095238	165.377380952381	8540.13095238095	66	4800.40476190476	3109.47023809524	908.166666666667	2989.5119047619
K04775	10.9880952380952	4.82142857142857	0	6.66666666666667	0	2.94642857142857	0	0	34.5833333333333	0.982142857142857	0	0
K04780	0	0.363636363636364	0.363636363636364	0.909090909090909	0.444444444444444	0	0	0	0	0	0	1.33333333333333
K04782	17.4944444444444	9.43333333333333	2	17.2222222222222	0.4	4.7	526	2	2580.55555555556	1033.45833333333	0	8
K04783	9.5	29	8.25	21.875	4.25	6.375	3.875	11.375	4.375	4.5	9.875	9.875
K04784	9.94444444444444	29.3333333333333	8.25	22.4305555555556	4.25	6.375	3.875	11.375	4.59722222222222	4.5	9.875	9.875
