"Pathway"	"S1A"	"S1B"	"S2A"	"S2B"	"S3A"	"S3B"	"S4A"	"S4B"	"S5A"	"S5B"	"S6A"	"S6B"
"ko00710"	67784.4849206349	65055.345021645	53884.5545454545	78803.0946969697	78751.3694444444	81852.3099206349	213891.325	520117.347222222	81546.6833333333	88357.3468253968	53099.8833333333	92148.0777777778
"ko00720"	93847.0551587302	91841.6829004329	70594.8364718615	117842.401695527	108442.563492063	128553.589285714	433514.551190476	949169.6	185323.161507937	150072.038095238	73547.4166666667	151763.127380952
"ko00730"	50113.2448412698	49784.4554112554	42808.0387445887	61774.8448773449	61375.3857142857	61645.778968254	194515.73452381	435575.041666667	79843.2253968254	73466.6726190476	40894.0583333333	76801.619047619
"ko00740"	21267.3281746032	20745.5294372294	16548.1818181818	31317.0934343434	28750.8916666667	27614.6337301587	115189.283333333	234621.822222222	61224.6222222222	41961.4575396825	19079.925	42016.1777777778
"ko00750"	21507.7408730159	18919.8824675325	16863.6229437229	24930.7478354978	25285.4103174603	36772.5702380952	86791.119047619	165151.608333333	42705.2841269841	37341.1678571429	17186.9333333333	32637.8630952381
"ko00760"	56177.3321428571	52652.820995671	44466.7948051948	69364.7628066378	69471.6218253968	67390.0551587302	291248.217857143	628071.736111111	129534.811507937	99766.9507936508	42760.2333333333	92265.0329365079
"ko00770"	84530.7531746032	80772.8055555555	67119.5123015873	85978.5158730159	85756.053968254	107681.056349206	210081.307539683	384160.669444444	108091.009920635	109888.806746032	55449.225	105605.98452381
"ko00780"	32463.7277777778	30665.0198051948	25231.8852813853	41894.9552669553	39911.7067460317	47078.9309523809	224633.796428571	542175.044444444	103695.584920635	74473.6353174603	31925	73983.1484126984
"ko00785"	8536.85158730159	8295.054004329	7536.43138528138	10156.516955267	9249.49603174603	8121.90674603175	33344.5119047619	79157.8527777778	14196.503968254	13307.0615079365	7672.6	12853.8293650794
"ko00790"	68256.2551587302	66814.7112193362	56775.3949494949	80661.6957070707	76838.6694444444	104062.727380952	269120.947222222	450533.944444444	142694.1	120733.834126984	58326.325	106395.602777778
"ko00791"	5145.59523809524	3065.8	3352.28571428571	2480.89285714286	4653.48571428571	13372.9738095238	29242.3928571429	6348.33333333333	17797.830952381	7715.85238095238	3384.25	2317.20238095238
"ko00830"	5199.37261904762	5243.38683261183	4549.57453102453	5766.77362914863	4612.10912698413	7451.64325396825	26366.0753968254	41517.5861111111	9463.9630952381	8652.14126984127	3741.4	8386.72857142857
"ko00860"	52597.3829365079	57791.918001443	37326.5521284271	65412.5102813853	53652.4801587302	72591.7670634921	255041.095634921	466201.727777778	177909.825396825	119973.776984127	39168.7083333333	101657.535714286
"ko00900"	65448.3845238095	63074.8324675325	51694.5288961039	74659.9383116883	73873.7523809524	79271.3353174603	213144.367857143	407628.588888889	105184.625396825	87890.5599206349	49193.9833333333	86914.9134920635
"ko00901"	6.33333333333333	3	0	7.5	0	1	0	0	137	912.333333333333	0	0
"ko00902"	0	0	0	0	0	0	6	0	0	0	0	0
"ko00903"	122.131746031746	81.5504329004329	25.3992424242424	235.00505050505	4.75833333333333	38.2428571428571	28086.5666666667	38676.8	26655.3444444444	8249.31428571428	518.966666666667	208.158333333333
"ko00906"	1046.09126984127	530.619047619048	1059.125	1251.73611111111	2461.31944444444	334.369047619048	3678.525	256.55	2666.19444444444	2968.42857142857	767.875	4634.83333333333
"ko00908"	6837.88452380952	6516.9553030303	5356.73387445887	8531.67893217893	8828.1869047619	9355.58571428571	17210.6392857143	41088.9111111111	7791.94365079365	8381.75079365079	5350.94166666667	9476.17579365079
"ko00909"	0	2	2	5	0	0	0	0	2	4.5	5	32.5
"ko00910"	46390.3722222222	47725.8409090909	37176.2492424242	54869.0328282828	49977.7861111111	54246.5888888889	161903.65	244933.294444444	95407.0666666667	74634.1638888889	31848.7333333333	59995.0305555556
"ko00920"	38304.9638888889	37135.7622655123	31427.419011544	45973.617965368	37755.8071428571	45300.6996031746	301473.33968254	210047.027777778	173168.587301587	106250.600793651	29748.1416666667	75022.6988095238
"ko00930"	103.603968253968	58.4595238095238	18.2666666666667	83.3888888888889	6.55	35.4095238095238	43949.4333333333	38626.0666666667	25221.5888888889	8329.83095238095	21.3	35.0333333333333
"ko00940"	1742.42023809524	1009.4619047619	1185.08333333333	2469.55555555556	3485.32777777778	638.145238095238	39911.775	225306.016666667	8716.66666666667	4708.95952380952	1032.83333333333	4206.25
"ko00941"	6	1	1	5	1	0	0	0	2.25	2.25	1.25	12.25
"ko00943"	0	0.363636363636364	0.363636363636364	0.909090909090909	0	0	0	0	0	0	0	0
"ko00944"	3.06666666666667	1.13333333333333	1.66666666666667	0.666666666666667	2.33333333333333	8.46666666666667	3.46666666666667	5.86666666666667	0.733333333333333	2.53333333333333	1	0
"ko00945"	6	1	1	5	1	0	0	0	2.25	2.25	1.25	12.25
"ko00950"	1632.6253968254	1589.39567099567	674.711147186147	4861.08044733045	4523.00357142857	4702.69047619048	43045.3142857143	150208.766666667	13746.2436507937	10354.969047619	2858.16666666667	9384.02023809524
