OTU,X16S_K0010A2.S1.L001,X16S_K0011C1.S2.L001,X16S_K0011C2.S3.L001,X16S_K0033C1.S4.L001,X16S_K0033C2.S5.L001,X16S_K0145B1.S6.L001,X16S_K0147C2.S7.L001,X16S_K0148A1.S8.L001,X16S_K0154C1.S9.L001,X16S_K0154C2.S10.L001,X16S_K0191C1.S11.L001,X16S_K0192B2.S12.L001,X16S_K0192C1.S13.L001,X16S_K0195C1.S14.L001
forward_16S_189,0.0,0.0,1.1,0.6,0.3,0.7,2.8,0.0,0.0,0.0,0.0,0.0,0.7,0.0
forward_16S_190,0.0,0.0,0.0,0.0,5.8,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
forward_16S_191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.6,0.0,0.0,0.0,0.0,5.3
forward_16S_192,4.4,0.0,0.3,0.0,0.0,0.0,0.3,0.0,1.2,1.8,6.8,0.7,1.6,0.0
forward_16S_193,2.1,0.0,0.3,2.6,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_194,1.1,0.5,0.7,1.2,0.0,0.0,1.9,0.0,0.0,0.0,2.1,0.0,0.7,1.5
forward_16S_195,1.9,0.0,0.2,0.0,2.1,0.3,0.3,0.0,0.8,0.9,1.9,2.8,0.7,0.0
forward_16S_196,1.1,0.0,0.0,7.2,0.0,0.3,0.0,0.0,0.6,0.0,0.9,2.0,0.0,0.0
forward_16S_197,0.8,0.4,0.0,0.0,0.0,0.0,0.0,2.9,0.5,0.0,0.0,0.0,0.7,10.0
forward_16S_198,0.9,0.0,0.0,0.7,0.8,5.7,0.0,0.0,0.4,0.0,0.8,0.0,0.6,0.0
forward_16S_199,0.3,0.0,0.4,3.0,0.0,0.0,0.2,0.2,0.0,8.8,2.3,0.0,0.0,1.8
forward_16S_200,0.3,0.0,0.0,0.0,4.2,0.9,0.0,0.0,0.0,0.0,1.0,3.2,0.0,0.0
