"feature"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"K02239"	1.60624098124098	0.465909090909091	0.0909090909090909	1.92099567099567	1.13690476190476	0.492063492063492	6.39514189514189	18.6481601731602	12.9414502164502	0.797619047619048	2.60606060606061	0.55	1.66883116883117	2.72619047619048
"K02240"	6.4774531024531	1.48863636363636	0.215909090909091	6.68235930735931	0.5	0.380952380952381	36.1416065416065	21.5904581529582	27.009632034632	1.61201298701299	5.69772727272727	0	7.04383116883117	4.14285714285714
"K02241"	3.75	0.840909090909091	0.125	4.125	0.125	0	23.125	3.48106060606061	10.9166666666667	1.04166666666667	3.44318181818182	0	5.375	1.625
"K02242"	6.3524531024531	1.02272727272727	0.215909090909091	6.18235930735931	0.125	0.380952380952381	34.1037277537278	13.7205086580087	23.7457431457431	1.77867965367965	6.39090909090909	0	7.04383116883117	6.22619047619048
"K02243"	6.20959595959596	1.02272727272727	0.215909090909091	6.03950216450216	0.125	0.214285714285714	31.9549182299182	11.2601911976912	18.6108225108225	1.39772727272727	5.19772727272727	0	6.82954545454546	3.5
"K02244"	6.3524531024531	1.02272727272727	0.215909090909091	6.18235930735931	0.125	0.380952380952381	34.3916065416065	12.553841991342	23.5790764790765	1.61201298701299	5.19772727272727	0	7.04383116883117	4.14285714285714
"K02245"	6.3524531024531	1.02272727272727	0.215909090909091	6.18235930735931	0.125	0.380952380952381	33.9370610870611	13.053841991342	23.5790764790765	1.61201298701299	5.19772727272727	0	7.04383116883117	4.14285714285714
"K02246"	6.3524531024531	1.02272727272727	0.215909090909091	6.18235930735931	0.125	0.214285714285714	33.5370610870611	12.7482864357864	22.2012987012987	1.61201298701299	4.39772727272727	0	7.04383116883117	3.89285714285714
"K02247"	0.688311688311688	0	0.0909090909090909	1.06493506493506	0	0	2.70481000481	1.64285714285714	4.92857142857143	0.214285714285714	1.27272727272727	0	1.66883116883117	0.642857142857143
"K02248"	4.89790764790765	0.75	0.215909090909091	5.54599567099567	0.125	0	27.3006974506975	11.6295995670996	21.3366522366522	1.33928571428571	5.19772727272727	0	7.04383116883117	3.14285714285714
"K02249"	0.688311688311688	0	0	1.24675324675325	0	0.214285714285714	2.93857623857624	2.05194805194805	5.01948051948052	0.214285714285714	1.27272727272727	0	1.66883116883117	0.642857142857143
"K02250"	12.0165945165945	2.04545454545455	0.340909090909091	11.3203463203463	0.25	0.333333333333333	65.1854858104858	22.8632756132756	41.9878787878788	3.00974025974026	8.62272727272727	0	12.4188311688312	5.89285714285714
"K02251"	0.125	0.375	0	1.07142857142857	0.458333333333333	0.166666666666667	1.39069264069264	9.74007936507937	3.46590909090909	0.333333333333333	0.833333333333333	0.25	0	0
"K02253"	0	0	0	0.571428571428571	0	0	0.0952380952380952	0.142857142857143	0	0	0	0	0	0
"K02254"	0.87012987012987	0	0.0909090909090909	1.05194805194805	0	0	3.16233766233766	3.16233766233766	5.29220779220779	0.214285714285714	1.27272727272727	0	1.66883116883117	0.642857142857143
"K02255"	0	2.85714285714286	0	0	1.75	2.39285714285714	0	1.57142857142857	0.285714285714286	0.714285714285714	0	1.21428571428571	0	0
"K02258"	734.702056277056	1714.47813852814	503.41443001443	769.629761904762	666.587842712843	930.934271284271	459.042207792208	2140.65122655123	1552.21479076479	1732.95714285714	944.083513708514	886.872799422799	439.192803030303	795.225036075036
"K02259"	2397.1082972583	2366.89871933622	2054.36354617605	1933.53320707071	2227.8926046176	2014.37296176046	1543.789496152	2423.91807359307	2286.77783189033	2917.84137806638	2890.44623015873	2807.44224386724	1236.39237012987	1157.57146464646
"K02274"	3647.81536796537	3835.83142135642	3040.81783910534	3276.22283549784	3682.7674963925	3867.10182178932	2634.64389129389	2980.73015873016	3316.87682178932	4201.35248917749	4635.0939033189	4474.25768398268	2222.41866883117	1776.27113997114
"K02275"	5652.68005050505	4261.71006493507	4476.62418831169	4554.13593073593	6304.41233766234	5435.88237734488	3422.21690716691	3106.89108946609	3774.09110750361	4623.07987012987	7187.90779220779	7339.49379509379	3283.34287518038	2119.63185425685
"K02276"	2279.34347041847	3153.43618326118	1884.04897186147	2492.06053391053	2154.72528860029	2417.00643939394	1811.14171476671	2702.75263347763	2692.86084054834	3817.74058441558	3013.32388167388	2692.5705988456	1576.69312770563	1609.82784992785
"K02277"	1602.90523088023	452.405303030303	1190.19090909091	1134.21847041847	1850.04166666667	1247.8753968254	819.473172198172	164.655735930736	499.151298701299	482.012012987013	2140.36439393939	2131.52777777778	837.018831168831	249.067857142857
"K02278"	1487.16673881674	1814.65753968254	1043.00054112554	1078.69920634921	1399.07196969697	1309.85371572872	715.568217893218	3000.03308080808	2245.43506493506	2042.07182539683	1784.49898989899	1710.83946608947	758.644191919192	953.23455988456
"K02279"	1767.13697691198	2111.53214285714	1310.10689033189	1424.02896825397	1737.45054112554	1728.10133477633	1063.90815295815	3119.26085858586	2494.03502886003	2404.15753968254	2114.22121212121	1981.09502164502	1042.22038239538	1172.45836940837
"K02280"	1629.3591991342	2043.79956709957	1202.03189033189	1280.10674603175	1640.68149350649	1617.46958874459	826.645779220779	3054.39090909091	2375.51280663781	2266.59087301587	1963.59621212121	1886.57835497836	939.419191919192	1157.60836940837
"K02281"	274.026262626263	351.661868686869	297.341414141414	389.233333333333	394.152922077922	568.22196969697	207.533080808081	59.7936868686869	259.764393939394	420.313888888889	420.276767676768	423.644227994228	360.594191919192	210.704797979798
"K02282"	1643.47031024531	1946.34880952381	1183.98189033189	1318.88452380952	1564.1183982684	1577.11204906205	897.565223665224	3021.69696969697	2338.29058441558	2292.22698412698	1985.3601010101	1854.18946608947	910.512049062049	1119.58336940837
"K02283"	2082.0091991342	2617.72507215007	1609.64363275613	1936.65396825397	1841.1687950938	1887.77375541126	1408.5933982684	3338.13131313131	2852.86668470418	3073.6880952381	2534.37954545455	2159.25057720058	1071.71323953824	1393.69646464646
"K02284"	0	0	0	0	0.5	0	0	0	0	0	0	1.25	0	0
"K02285"	0	0	0	0	0.5	0	0	0	0	0	0	1.25	0	0
"K02286"	0	0	0	0	1	0	0	0	0	0	0	2.5	0	0
"K02287"	0	0	0	0	0.5	0	0	0	0	0	0	1.25	0	0
"K02288"	0	0	0	0	0.5	0	0	0	0	0	0	1.25	0	0
"K02289"	0	0	0	0	0.5	0	0	0	0	0	0	1.25	0	0
"K02290"	0	0	0	0	2	0	0	0	0	0	0	5	0	0
