"Pathway"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"ko00590"	2032.70299422799	4943.9968975469	1249.45032467532	2147.71688311688	1469.67806637807	1851.98064574315	1285.1186988937	7172.44053030303	4951.96544011544	5668.64613997114	2501.78333333333	1999.94917027417	949.793127705628	2294.38499278499
"ko00591"	614.110714285714	1816.57261904762	390.786111111111	867.097222222222	417.955158730159	417.180753968254	534.383333333333	2760.30873015873	1854.97936507936	2220.05714285714	762.325	618.461111111111	158.925	707.142857142857
"ko00592"	2610.67128427128	4214.55203823954	1891.81038961039	2666.83995310245	1818.34722222222	1786.27242063492	1997.42062890813	5775.20854978355	4337.52348484849	4772.73672438672	3222.93244949495	2444.33174603175	1168.25216450216	1988.4373015873
"ko00600"	5175.87070707071	6090.69841269841	4391.55505050505	6384.84154040404	4742.22846320346	6049.39354256854	5216.00926527176	4347.63524531025	5068.87104978355	8696.48611111111	7264.54671717172	5992.145995671	3839.03495670996	2731.05642135642
"ko00603"	2222.18661616162	2586.99090909091	1939.78888888889	3141.74962121212	2187.57142857143	2821.08273809524	2455.1390993266	1258.68268398268	1646.63897907648	4217.73849206349	3343.6898989899	2594.14444444444	1679.11801948052	1204.0876984127
"ko00604"	611.516666666667	1242.96825396825	532.541666666667	1267.25833333333	587.796428571429	975.510317460317	848.552777777778	782.638095238095	678.673015873016	2122.23531746032	1071.35555555556	741.547619047619	433.324404761905	549.158333333333
"ko00620"	86795.9833694084	98833.2188672439	69803.748502886	79865.9971320346	84542.5427128427	86994.6849747475	65622.2209415584	98797.6169191919	92612.9828282828	115579.926154401	108333.056746032	101518.842676768	51901.5677128427	49113.3555194805
"ko00621"	4520.14797979798	7186.33441558442	3893.86237373737	4065.22871572872	3490.06392496392	4716.68952020202	3928.65650553151	8584.00983044733	7276.97806637807	7764.49217171717	5174.17146464646	4411.34657287157	3436.86875901876	3195.48621933622
"ko00622"	7515.93665223665	11436.3145743146	6211.1012987013	6022.78012265512	5285.51233766234	6046.23118686869	5808.74461279461	13802.2287157287	11705.5707070707	12616.7482323232	8047.70176767677	6951.22474747475	5047.95165945166	5152.83621933622
"ko00623"	5924.75689033189	8931.92344877345	5077.51378066378	5381.85629509379	5034.30663780664	5797.84770923521	3989.00532106782	8193.98207070707	7662.27469336219	9353.48095238095	7127.86338383838	6551.39123376623	3517.49612193362	3806.26554834055
"ko00624"	5611.72687590188	6774.61944444444	4961.30732323232	5369.87593795094	6585.87994227994	7355.67458513709	3291.81017316017	4379.55645743146	4593.57233044733	5561.91428571429	7182.26818181818	7759.52532467532	3398.05692640693	2842.91482683983
"ko00625"	17570.4561688312	18139.225036075	14279.2294372294	15181.229004329	17832.8730519481	17938.8764249639	11566.3154280904	17908.0703823954	17192.5454906205	19810.4091991342	21549.5181818182	20816.3767316017	10355.6772366522	9570.07312409812
"ko00626"	6654.57236652237	7847.56109307359	5935.87364718615	5873.71060606061	6733.31857864358	7071.26699134199	4225.66333573834	5385.15703463203	5870.50447330447	7623.73870851371	8102.38775252525	8203.46121933622	4069.41056998557	3346.55930735931
"ko00627"	18115.2839466089	25663.3724025974	15436.6973665224	17500.7962121212	16509.8439033189	19674.0327922078	13594.469011544	22668.8547438672	21666.9966450216	27433.0975468975	22041.6921717172	20338.0478354978	12307.2437770563	12203.4801226551
"ko00630"	84124.40501443	103466.351966089	67669.2622835498	78721.9287157287	79848.5991341991	81015.5040945166	60751.0396344396	110228.472564935	97770.7297979798	117295.145923521	105928.643849206	96852.9655844156	49072.99004329	52239.2660533911
"ko00633"	9080.52792207792	8351.1783008658	9057.06818181818	9775.62994227994	11125.5558802309	14637.7634199134	8082.30738335738	2297.67168109668	5999.52963564214	9401.02817460317	11531.6241161616	12439.5282828283	7370.42151875902	4053.60375180375
"ko00640"	59918.4844155844	76016.4900252525	49459.3982323232	57563.4977272727	57764.3757215007	64629.925523088	46514.0271404521	74886.3335137085	69581.1849025974	87179.1123376623	75773.0650974026	69754.0743145743	37912.5379148629	37700.6565295815
"ko00642"	3066.89152236652	3525.50779220779	2460.3840007215	2773.62467532468	2289.79880952381	2217.27738095238	2706.08312890813	3952.19188311688	3449.02765151515	4186.3641053391	3615.10883838384	2938.55753968254	1698.68430735931	1689.68452380952
