phylum	class	order	family	genus	species	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Candidatus Electrothrix	unclassified	0	0	0.2	0	0	2.2	0	0	0	0	0	0	0	0
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	unclassified	unclassified	0.3	0.1	0.8	0	8.1	11.8	0	1.5	0.7	2.5	0.9	4.3	2	9.2
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. NIOT-BARREN 34	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella ginsengisoli	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	Tissierella	Tissierella sp. LW10	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Candidatus Tectomicrobia	unclassified	unclassified	unclassified	unclassified	unclassified	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. KMG425	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. FJAT-17087	0.5	0	0	0	0	0	0	1.1	0	0	0	0	0	0
Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	Thermomicrobium roseum	0	0	0.5	0.2	0.2	0.8	2.1	0	0	0	0	0.7	0	0
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum lipoferum	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	Leptolinea sp. enrichment culture clone Y223	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0
Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Alterococcus	Alterococcus agarolyticus	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aurantimonas	Aurantimonas sp. 139Z-6	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baylyi	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. CNS-2	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.8
Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	unclassified	5	2.1	5.4	4.1	4.2	11.3	42.8	1.7	2.6	3.6	3.5	0.6	15.7	3.7
